"DOY","Hr","Min","Hour","Ta","Ts"
201,22,10,22.1666666666667,21.03,25.07
201,22,20,22.3333333333333,21.06,24.9
201,22,30,22.5,20.96,24.86
201,22,40,22.6666666666667,21,24.91
201,22,50,22.8333333333333,20.92,24.82
201,23,0,23,21.05,24.67
201,23,10,23.1666666666667,21.16,24.67
201,23,20,23.3333333333333,21.27,24.67
201,23,30,23.5,21.22,24.57
201,23,40,23.6666666666667,21.31,24.6
201,23,50,23.8333333333333,21.38,24.67
202,0,0,0,21.33,24.7
202,0,10,0.166666666666667,21.33,24.67
202,0,20,0.333333333333333,21.34,24.53
202,0,30,0.5,21.56,24.61
202,0,40,0.666666666666667,21.76,24.55
202,0,50,0.833333333333333,21.85,24.53
202,1,0,1,21.32,24.49
202,1,10,1.16666666666667,21.03,24.54
202,1,20,1.33333333333333,21.07,24.73
202,1,30,1.5,21.07,24.79
202,1,40,1.66666666666667,21.04,24.77
202,1,50,1.83333333333333,21.14,24.62
202,2,0,2,21.09,24.67
202,2,10,2.16666666666667,21.03,24.56
202,2,20,2.33333333333333,21.01,24.49
202,2,30,2.5,20.9,24.44
202,2,40,2.66666666666667,20.82,24.62
202,2,50,2.83333333333333,20.81,24.6
202,3,0,3,20.77,24.62
202,3,10,3.16666666666667,20.84,24.58
202,3,20,3.33333333333333,20.87,24.36
202,3,30,3.5,20.9,24.35
202,3,40,3.66666666666667,20.97,24.36
202,3,50,3.83333333333333,20.96,24.34
202,4,0,4,21,24.42
202,4,10,4.16666666666667,21.01,24.34
202,4,20,4.33333333333333,21.14,24.35
202,4,30,4.5,21.24,24.22
202,4,40,4.66666666666667,20.9,24.29
202,4,50,4.83333333333333,20.72,24.31
202,5,0,5,20.7,24.42
202,5,10,5.16666666666667,20.71,24.29
202,5,20,5.33333333333333,21.45,24.22
202,5,30,5.5,21.9,23.95
202,5,40,5.66666666666667,21.77,24.05
202,5,50,5.83333333333333,21.75,23.97
202,6,0,6,21.94,23.95
202,6,10,6.16666666666667,22.49,24
202,6,20,6.33333333333333,22.88,23.89
202,6,30,6.5,23.65,23.94
202,6,40,6.66666666666667,24.48,23.58
202,6,50,6.83333333333333,24.35,23.27
202,7,0,7,24.26,23.42
202,7,10,7.16666666666667,24.42,23.72
202,7,20,7.33333333333333,24.71,23.77
202,7,30,7.5,24.9,23.72
202,7,40,7.66666666666667,25.14,23.63
202,7,50,7.83333333333333,25.91,23.38
202,8,0,8,26.37,22.89
202,8,10,8.16666666666667,26.05,22.74
202,8,20,8.33333333333333,26.03,23.46
202,8,30,8.5,26.87,23.36
202,8,40,8.66666666666667,26.4,23.44
202,8,50,8.83333333333333,27.23,23.61
202,9,0,9,27.07,23.29
202,9,10,9.16666666666667,26.71,23.8
202,9,20,9.33333333333333,27.3,24.22
202,9,30,9.5,27.76,24.09
202,9,40,9.66666666666667,28.11,23.74
